pair,Question A,Question B,pApB,pAB,Lift,Leverage
"('QN8', 'QN9')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who rarely or never wore a seat belt (when riding in a car driven by someone else),0.026601960589993888,0.030849974398361495,1.159687997205945,0.004248013808367607
"('QN8', 'QN10')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who rode with a driver who had been drinking alcohol (in a car or other vehicle one or more times during the 30 days before the survey),0.10346219147272738,0.11571940604198669,1.118470471142981,0.012257214569259309
"('QN8', 'QN11')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who drove when drinking alcohol (one or more times during the 30 days before the survey, among students who had driven a car or other vehicle during the 30 days before the survey)",0.0228971213297436,0.02713773681515617,1.1852029966712,0.004240615485412571
"('QN8', 'QN12')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who texted or e-mailed while driving a car or other vehicle (on at least 1 day during the 30 days before the survey, among students who had driven a car or other vehicle during the 30 days before the survey)",0.10479836300921108,0.1235279057859703,1.1787198028571593,0.018729542776759214
"('QN8', 'QN13')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who carried a weapon (such as a gun, knife, or club on at least 1 day during the 30 days before the survey)",0.07670839320813307,0.08966973886328725,1.168969067309051,0.01296134565515418
"('QN8', 'QN14')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who carried a gun (on at least 1 day during the 30 days before the survey),0.02165205239802014,0.03136200716845878,1.4484542431333907,0.00970995477043864
"('QN8', 'QN15')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who carried a weapon on school property (such as a gun, knife, or club on at least 1 day during the 30 days before the survey)",0.02137874458373938,0.02534562211981567,1.1855524079320114,0.003966877536076288
"('QN8', 'QN16')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who did not go to school because they felt unsafe at school or on their way to or from school (on at least 1 day during the 30 days before the survey),0.029972756966123254,0.03046594982078853,1.0164547043577843,0.000493192854665276
"('QN8', 'QN17')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who were threatened or injured with a weapon on school property (such as a gun, knife, or club one or more times during the 12 months before the survey)",0.028849158174080132,0.03245007680491552,1.12481884598181,0.0036009186308353855
"('QN8', 'QN18')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who were in a physical fight (one or more times during the 12 months before the survey),0.087488868104763,0.12000768049155146,1.3716908572625377,0.03251881238678846
"('QN8', 'QN19')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who were injured in a physical fight (one or more times during the 12 months before the survey; injuries had to be treated by a doctor or nurse),0.012055911363273487,0.01574500768049155,1.3059989581921063,0.0036890963172180637
"('QN8', 'QN20')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who were in a physical fight on school property (one or more times during the 12 months before the survey),0.03805052125486569,0.04173067076292883,1.0967174531831818,0.003680149508063141
"('QN8', 'QN21')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who were ever physically forced to have sexual intercourse (when they did not want to),0.03398127157557439,0.03373015873015873,0.9926102575397396,-0.00025111284541565887
"('QN8', 'QN22')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who experienced physical dating violence (one or more times during the 12 months before the survey, including being hit, slammed into something, or injured with an object or weapon on purpose by someone they were dating or going out with among students who dated or went out with someone during the 12 months before the survey)",0.032432527294650085,0.034242191500256015,1.0557978164687907,0.0018096642056059306
"('QN8', 'QN23')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who experienced sexual dating violence (one or more times during the 12 months before the survey, including kissing, touching, or being physically forced to have sexual intercourse when they did not want to by someone they were dating or going out with among students who dated or went out with someone during the 12 months before the survey)",0.032857672783531265,0.0344342037890425,1.0479806045880833,0.0015765310055112364
"('QN8', 'QN24')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who were bullied on school property (during the 12 months before the survey),0.08976643322376934,0.09082181259600615,1.0117569489433311,0.001055379372236806
"('QN8', 'QN25')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who were electronically bullied (including being bullied through e-mail, chat rooms, instant messaging, websites, or texting during the 12 months before the survey)",0.0688735691987513,0.06989247311827956,1.0147938306578532,0.0010189039195282606
"('QN8', 'QN26')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who felt sad or hopeless (almost every day for 2 or more weeks in a row so that they stopped doing some usual activities during the 12 months before the survey),0.14543012473228395,0.14906554019457247,1.0249976782250638,0.003635415462288516
"('QN8', 'QN27')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who seriously considered attempting suicide (during the 12 months before the survey),0.08527203805559685,0.08422939068100359,0.9877726931551294,-0.0010426473745932668
"('QN8', 'QN28')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who made a plan about how they would attempt suicide (during the 12 months before the survey),0.07078672389871662,0.07174859190988223,1.0135882543814552,0.0009618680111656008
"('QN8', 'QN29')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who attempted suicide (one or more times during the 12 months before the survey),0.03653214450886147,0.04089861751152074,1.1195241358360475,0.004366473002659271
"('QN8', 'QN30')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who attempted suicide that resulted in an injury, poisoning, or overdose that had to be treated by a doctor or nurse (during the 12 months before the survey)",0.012116646433113656,0.01312083973374296,1.082877164582845,0.0010041933006293031
"('QN8', 'QN31')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who ever tried cigarette smoking (even one or two puffs),0.1412394049133123,0.18189964157706093,1.2878816764252472,0.04066023666374863
"('QN8', 'QN32')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who smoked a whole cigarette before age 13 years (for the first time),0.033799066366053884,0.036738351254480286,1.0869634935057992,0.0029392848884264022
"('QN8', 'QN33')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who currently smoked cigarettes (on at least 1 day during the 30 days before the survey),0.04995459494353875,0.05683563748079877,1.1377459379870325,0.006881042537260018
"('QN8', 'QN34')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who smoked more than 10 cigarettes per day (during the 30 days before the survey among students who currently smoked cigarettes on the days they smoked),0.004221087353891724,0.004480286738351254,1.0614058328408096,0.00025919938445953007
"('QN8', 'QN35')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who usually obtained their own cigarettes by buying them in a store or gas station (during the 30 days before the survey among students who currently smoked cigarettes and who were aged <18 years),0.004737335447533159,0.005504352278545827,1.1619089126171278,0.0007670168310126681
"('QN8', 'QN36')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who tried to quit smoking cigarettes (among students who currently smoked cigarettes during the 12 months before the survey),0.018979709325052718,0.025857654889912953,1.362384135977337,0.006877945564860235
"('QN8', 'QN37')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who currently used smokeless tobacco (chewing tobacco, snuff, or dip on at least 1 day during the 30 days before the survey)",0.03401163911049447,0.03680235535074245,1.082051800890328,0.00279071624024798
"('QN8', 'QN38')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who currently smoked cigars (cigars, cigarillos, or little cigars on at least 1 day during the 30 days before the survey)",0.047859235034052934,0.05677163338453661,1.1862210782128528,0.008912398350483679
"('QN8', 'QN39')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who ever used electronic vapor products (e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens such as blu, NJOY, or Starbuzz)",0.21539692518815828,0.2411674347158218,1.119641956379609,0.02577050952766352
"('QN8', 'QN40')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),"students who currently used electronic vapor products (e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens such as blu, NJOY, or Starbuzz on at least 1 day during the 30 days before the survey)",0.11840301865340888,0.135752688172043,1.146530635079671,0.01734966951863412
"('QN8', 'QN41')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who ever drank alcohol (at least one drink of alcohol on at least 1 day during their life),0.29310744704865416,0.31803635432667693,1.0850504056755839,0.02492890727802277
"('QN8', 'QN42')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who drank alcohol before age 13 years (for the first time other than a few sips),0.08590975628891863,0.0935099846390169,1.08846758131333,0.00760022835009827
"('QN8', 'QN43')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who currently drank alcohol (at least one drink of alcohol on at least 1 day during the 30 days before the survey),0.14148234519267297,0.15937019969278035,1.1264317076151615,0.01788785450010738
"('QN8', 'QN44')",students who rarely or never wore a bicycle helmet (among students who had ridden a bicycle during the 12 months before the survey),students who drank five or more drinks of alcohol in a row (within a couple of hours on at least 1 day during the 30 days before the survey),0.08269079758738968,0.09376600102406554,1.133935138610452,0.011075203436675868
